,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,STATEMENT_TYPE,BANK_ID,CURR_ID,CATEGORY_TYPE,DATA_SOURCE,EXTRACTION_DATE,REPORT_DATE
79,Shpenzimet e interesit / Interest expense,0.0,0.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
80,Neto të hyrat nga interesi / Net interest income,2.0,301.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
81,Fee and commission income,2.0,11.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
82,Fee and commission expense,0.0,0.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
83,Net fee and commission income,1.0,42.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
84,Net trading profit,0.0,0.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,7,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
85,Net other operating income (expense),0.0,0.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
86,Gjithsej të hyrat/Total income,9.0,4.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
87,Impairment losses on financial assets,0.0,0.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,11,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
88,Fitimi/(humbja) para tatimit / Profit/(loss) before taxation,7.0,1.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,14,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
89,Fitimi/(humbja) neto / Net profit/(loss),7.0,1.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,16,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
90,Total comprehensive income/(loss),71.0,75.0,2025-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2025-2.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-09-30
91,Të hyrat nga interesi / Interest income,20.0,168.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
92,Shpenzimet e interesit / Interest expense,-6.0,-28.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
93,Neto të hyrat nga interesi / Net interest income,14.0,140.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
94,Fee and commission income,2.0,6.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
95,Fee and commission expense,-3.0,-3.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
96,Net fee and commission income,-1.0,3.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
97,Net other operating income (expense),-541.0,-370.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
98,Gjithsej të hyrat/Total income,-529.0,-227.0,2023-03-31,Treguesit-finanaciar-TM1-2023.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2023-03-31
