BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,4,Të hyrat nga tarifat dhe komisionet,13,20,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,3,6,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet,10,14,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,7,Neto të hyrat nga tregtimi,0,2,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-09-30,2016-09-30,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,439,702,1,zba_is_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-12-31,2016-12-31,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,996,1189,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-12-31,2016-12-31,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,3,38,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-12-31,2016-12-31,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,7005,6618,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-12-31,2016-12-31,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,7348,8759,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-12-31,2016-12-31,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,497,466,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
9,2016-12-31,2016-12-31,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,666,622,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-21
